产品1ID,产品2ID,关联度,产品1,产品2
ID26,ID56,0.0,海滨公园,叉烧饭
ID26,ID72,0.0,海滨公园,脆皮热狗卷
ID26,ID54,0.0,海滨公园,榴莲千层
ID26,ID33,0.0,海滨公园,御水古温泉
ID26,ID27,0.0,海滨公园,大角湾
ID26,ID51,0.0,海滨公园,雅米乐园
ID26,ID12,0.0,海滨公园,甜点
ID26,ID67,0.0,海滨公园,蛋挞
ID26,ID6,0.0,海滨公园,文化广场
ID26,ID9,0.0,海滨公园,小东江
ID26,ID65,0.0,海滨公园,拉面
ID26,ID40,0.0,海滨公园,东南码头
ID26,ID31,6.05,海滨公园,骑楼
ID26,ID89,0.0,海滨公园,凉拌菜
ID26,ID49,0.0,海滨公园,甜品
ID26,ID80,0.0,海滨公园,UNPOCO柏蔻
ID26,ID5,3.98,海滨公园,沙滩
ID26,ID57,0.0,海滨公园,烧鸭饭
ID26,ID88,0.0,海滨公园,煲仔饭
ID26,ID25,0.0,海滨公园,北洛湾
ID26,ID11,0.0,海滨公园,面包
ID26,ID45,5.15,海滨公园,水东湾
ID26,ID59,0.0,海滨公园,炸鸡
ID26,ID71,0.0,海滨公园,火腿
ID26,ID63,0.0,海滨公园,肉松
ID26,ID15,6.25,海滨公园,东湖
ID26,ID8,0.0,海滨公园,I
ID26,ID75,0.0,海滨公园,黄油
ID26,ID32,0.0,海滨公园,三元塔
ID26,ID36,5.05,海滨公园,湖光岩
ID26,ID58,0.0,海滨公园,蔬菜
ID26,ID78,0.0,海滨公园,日式蟹肉卷
ID26,ID84,0.0,海滨公园,油条碎
ID26,ID66,2.5,海滨公园,牛肉
ID26,ID50,0.0,海滨公园,小炒
ID26,ID38,0.0,海滨公园,野菠萝公园
ID26,ID77,0.0,海滨公园,和牛盖饭
ID26,ID16,0.0,海滨公园,饮料
ID26,ID39,0.0,海滨公园,温德姆酒店
ID26,ID62,0.0,海滨公园,泡芙
ID26,ID42,0.0,海滨公园,牛排
ID26,ID74,0.0,海滨公园,牛肚
ID26,ID17,0.0,海滨公园,晏镜岭
ID26,ID70,0.0,海滨公园,刺身
ID26,ID85,0.0,海滨公园,自助菜
ID26,ID23,7.21,海滨公园,游乐场
ID26,ID3,0.0,海滨公园,中心广场
ID26,ID24,6.55,海滨公园,摩天轮
ID26,ID79,0.0,海滨公园,高钙大骨鸳鸯锅
ID26,ID19,0.0,海滨公园,天马山
ID26,ID48,8.05,海滨公园,赤坎老街
ID26,ID37,0.0,海滨公园,玉湖
ID26,ID87,0.0,海滨公园,菠萝皮
ID26,ID46,0.0,海滨公园,热狗
ID26,ID10,6.15,海滨公园,红树林
ID26,ID86,0.0,海滨公园,菠萝包
ID26,ID61,0.0,海滨公园,米饭
ID26,ID82,0.0,海滨公园,无花果
ID26,ID90,0.0,海滨公园,关东煮
ID26,ID13,0.0,海滨公园,荔枝
ID26,ID18,0.0,海滨公园,架海灯塔
ID26,ID41,0.0,海滨公园,望海楼
ID26,ID81,0.0,海滨公园,无花果萨拉米披萨
ID26,ID7,0.0,海滨公园,早茶
ID26,ID14,6.25,海滨公园,红树林栈道
ID26,ID52,0.0,海滨公园,榴莲蛋糕
ID26,ID68,0.0,海滨公园,炒乌冬
ID26,ID76,0.0,海滨公园,酱汁
ID26,ID53,0.0,海滨公园,奶油
ID26,ID20,3.44,海滨公园,博物馆
ID26,ID4,3.32,海滨公园,海鲜
ID26,ID22,0.0,海滨公园,海陵岛
ID26,ID47,0.0,海滨公园,高州仙人洞景区
ID26,ID44,0.0,海滨公园,湛江大桥
ID26,ID55,0.0,海滨公园,寿司
ID26,ID43,0.0,海滨公园,新湖公园
ID26,ID1,0.0,海滨公园,海滩
ID26,ID21,0.0,海滨公园,玻璃桥
ID26,ID2,0.0,海滨公园,第一滩
ID26,ID60,0.0,海滨公园,蜂蜜芥末
ID26,ID35,3.81,海滨公园,生蚝
ID26,ID30,7.47,海滨公园,十里军港
ID26,ID69,0.0,海滨公园,凤梨
ID26,ID73,0.0,海滨公园,炒牛河
