语料ID,产品ID,产品名称
酒店评论-1025,ID1,海滩
酒店评论-1025,ID2,第一滩
酒店评论-1027,ID3,中心广场
酒店评论-1031,ID2,第一滩
酒店评论-1031,ID4,海鲜
酒店评论-1083,ID2,第一滩
酒店评论-1083,ID5,沙滩
酒店评论-1106,ID6,文化广场
酒店评论-1110,ID1,海滩
酒店评论-1110,ID4,海鲜
酒店评论-1130,ID4,海鲜
酒店评论-1132,ID7,早茶
酒店评论-1154,ID8,I
酒店评论-1155,ID1,海滩
酒店评论-1155,ID2,第一滩
酒店评论-1175,ID7,早茶
酒店评论-1179,ID4,海鲜
酒店评论-1191,ID4,海鲜
酒店评论-1191,ID5,沙滩
酒店评论-1198,ID5,沙滩
酒店评论-1203,ID2,第一滩
酒店评论-1205,ID2,第一滩
酒店评论-1216,ID5,沙滩
酒店评论-1236,ID9,小东江
酒店评论-1238,ID2,第一滩
酒店评论-1242,ID1,海滩
酒店评论-1244,ID2,第一滩
酒店评论-1249,ID4,海鲜
酒店评论-1249,ID5,沙滩
酒店评论-1254,ID2,第一滩
酒店评论-1254,ID4,海鲜
酒店评论-1261,ID1,海滩
酒店评论-1261,ID4,海鲜
酒店评论-1268,ID2,第一滩
酒店评论-1294,ID10,红树林
酒店评论-1309,ID5,沙滩
酒店评论-1310,ID7,早茶
酒店评论-1331,ID2,第一滩
酒店评论-1349,ID2,第一滩
酒店评论-1361,ID9,小东江
酒店评论-1378,ID5,沙滩
酒店评论-1383,ID11,面包
酒店评论-1398,ID12,甜点
酒店评论-1407,ID4,海鲜
酒店评论-1409,ID2,第一滩
酒店评论-1409,ID4,海鲜
酒店评论-1470,ID5,沙滩
酒店评论-1499,ID7,早茶
酒店评论-1509,ID11,面包
酒店评论-1516,ID4,海鲜
酒店评论-1519,ID1,海滩
酒店评论-1552,ID11,面包
酒店评论-1580,ID2,第一滩
酒店评论-1599,ID13,荔枝
酒店评论-1606,ID14,红树林栈道
酒店评论-1606,ID10,红树林
酒店评论-1606,ID15,东湖
酒店评论-1606,ID7,早茶
酒店评论-1606,ID5,沙滩
酒店评论-1614,ID1,海滩
酒店评论-1616,ID5,沙滩
酒店评论-1643,ID7,早茶
酒店评论-1666,ID7,早茶
酒店评论-1670,ID1,海滩
酒店评论-1677,ID1,海滩
酒店评论-1711,ID8,I
酒店评论-1728,ID7,早茶
酒店评论-1799,ID16,饮料
酒店评论-1802,ID10,红树林
酒店评论-1802,ID2,第一滩
酒店评论-1854,ID7,早茶
酒店评论-1854,ID4,海鲜
酒店评论-1862,ID16,饮料
酒店评论-1865,ID1,海滩
酒店评论-1872,ID7,早茶
酒店评论-1882,ID2,第一滩
酒店评论-1895,ID5,沙滩
酒店评论-1901,ID1,海滩
酒店评论-1911,ID8,I
酒店评论-1951,ID17,晏镜岭
酒店评论-1951,ID1,海滩
酒店评论-1951,ID2,第一滩
酒店评论-1956,ID1,海滩
酒店评论-1959,ID5,沙滩
酒店评论-1969,ID5,沙滩
酒店评论-1971,ID5,沙滩
酒店评论-1974,ID5,沙滩
酒店评论-2005,ID4,海鲜
酒店评论-2027,ID17,晏镜岭
酒店评论-2027,ID18,架海灯塔
酒店评论-2033,ID2,第一滩
酒店评论-2037,ID5,沙滩
酒店评论-2075,ID7,早茶
酒店评论-2091,ID5,沙滩
景区评论-1005,ID19,天马山
景区评论-1017,ID10,红树林
景区评论-1022,ID20,博物馆
