酒店评论ID,城市,酒店名称,评论日期,评论内容,入住日期,入住房型,实体编码
1001,茂名,茂名君悦商务酒店,2018-12-02,干净卫生服务好,2018-12-02,标双,OOOOOOO
1002,茂名,维也纳国际酒店(茂名电白店),2018-12-03,环境可以，干净！,2018-12-03,豪华双床房,OOOOOOOO
1003,茂名,茂名永利之家,2018-12-04,环境不错，房间卫生都很好，生活也很方便，就是隔音效果不理想，有时太吵。我定的优惠价，性价比很高的，是一个不错选择。,2018-12-04,标准单人间,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1004,茂名,茂名诚荟酒店,2018-12-05,很好.......舒服态度不错,2018-12-05,豪华大床房,OOOOOOOOOOOOOOO
1005,茂名,茂名华景商务酒店,2018-12-06,#卫生# #设计风格# #酒店餐饮#,2018-12-06,特惠单人间(无窗),OOOOOOOOOOOOOOOOOO
1006,茂名,茂名荔晶大酒店,2018-12-07,交通方便，离父母又比较近些，所以还是选择这里,2018-12-07,商务房,OOOOOOOOOOOOOOOOOOOOOO
1007,茂名,好莱登商务宾馆(信宜绍秀体育馆店),2018-12-08,酒店设施不错，热水很快，中央空调效果很好，服务态度很好，每次出差都是入住这个酒店，值得大家前往入住！,2018-12-08,三人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1008,茂名,茂名海豚酒店,2018-12-09,酒店隔音效果很差，杯子里有茶垢，窗子只能打开一点点没啥感觉，去听听他吞吞吐吐吞吞吐吐吞吞吐吐,2018-12-09,标准单人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1009,茂名,茂名荔晶大酒店,2018-12-10,晚上11：00以后，还是很安静的，但早上5:00以后，傍边的河东市场就喧闹起来了,2018-12-10,商务房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1010,茂名,茂名海豚酒店,2018-12-11,没有早餐，有停车场，酒店离海有点点远，很干净，不能加床，我们是国庆去的，平时去住就是120元的，国庆320元,2018-12-11,标准双人房,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
