餐饮评论ID,城市,餐饮名称,评论日期,评论内容,标题,实体编码
1001,茂名,盛香烧鹅（东方市场店）,2018-01-01,很好吃推荐！,主食3选1，有赠品,OOOOOO
1002,茂名,清香面包店（车田街店）,2018-01-01,超级好吃 老板又好  量又多,水果忌廉夹心蛋糕（二层）1个，约4磅，圆,OOOOOOOOOOOOOO
1003,茂名,功夫鸡排（光华北路店）,2018-01-01,好吃，不得不说比门口正对面那家好吃。服务态度也好。炸的皮松软，不会炸得很硬。,小吃6选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1004,茂名,茂名浪漫海岸温德姆酒店望海餐厅,2018-01-02,品种少，冷冻食品多。 7点就不再出食物，难以接受。,自助晚餐（浪漫海岸跨年音乐节）,OOOOOOOOOOOOOOOOOOOOOOOOO
1005,茂名,清香面包店（车田街店）,2018-01-03,味道不错，至少吃起来不腻，并且全家7个人吃还是挺多的了，就比较实惠咯,水果忌廉夹心蛋糕（二层）1个，约4磅，圆,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1006,茂名,优之品西点,2018-01-04,蛋糕香喉，奶油嫩滑，水果新鲜！超赞！到店买的抹茶慕斯蛋糕，榴莲蛋糕更是唇齿留香、回味无穷！,蛋糕2选1，提供免费WiFi,OOOOOBIOOOOOOOOOOOOOOOOOOOOOOBIIIOOOOOOOOOOOO
1007,茂名,优之品西点,2018-01-04,芒果好酸好生啊，看起来黄黄的应该挺甜的，实际好酸。。。,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOO
1008,茂名,清香面包店（车田街店）,2018-01-04,蛋糕很漂亮也非常好吃，奶油很厚不腻,水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆,OOOOOOOOOOOBIOOOO
1009,茂名,旺角亭（为民店）,2018-01-05,很好，一直都有在吃他家的东西，紫菜卷很好吃,休闲单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOO
1010,茂名,盛香烧鹅（东方市场店）,2018-01-06,来了好多次了，饭菜都适合我的口味，不错的快餐，值得推荐！还会再来,主食3选1，有赠品,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1011,茂名,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018-01-06,榴莲千层没什么榴莲味，而且不新鲜，那点榴莲肉有杂物黑色的,榴莲千层/榴莲雪媚娘2选1,BIIIOOOOOOOOOOOOOOOOOOOOOOOO
1012,茂名,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018-01-06,还好吧。。。也不算贵也不算便宜…………,榴莲千层/榴莲雪媚娘2选1,OOOOOOOOOOOOOOOOOOO
1013,茂名,清香面包店（车田街店）,2018-01-06,太好了  太好吃  老板好  性价比高  在这买了很多次蛋糕,芭比娃娃卡通蛋糕（水果夹心）1个，约1.5磅，圆,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1014,茂名,功夫鸡排（光华北路店）,2018-01-06,不厚道，一会过来，就成别人的了,小吃6选1，提供免费WiFi,OOOOOOOOOOOOOOO
1015,茂名,鲜饮时光（高州店）,2018-01-06,很大油烟味，寿司很少！！！！！,超值寿司套餐，建议3-4人使用,OOOOOOBIOOOOOOO
1016,茂名,喜相逢渝洲川菜酒楼（东方大道店）,2018-01-07,不错，味道还可以，就是放太多辣椒了,纸上烤鱼1份，提供免费WiFi,OOOOOOOOOOOOOOOOO
1017,茂名,喜相逢渝洲川菜酒楼（东方大道店）,2018-01-07,不错，很好吃，就是辣了一点，其他还行,正宗重庆烤鱼（约3斤）1份,OOOOOOOOOOOOOOOOOO
1018,茂名,驰名湘菜馆,2018-01-07,味道不错，上菜速度快，价格公道,2-3人美味餐，提供免费WiFi,OOOOOOOOOOOOOOO
1019,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-07,15块钱的味道和大小跟8.8的一样,榴莲千层蛋糕（土豪版）1份,OOOOOOOOOOOOOOOOO
1020,茂名,果之度（迎宾三路店）,2018-01-09,蛋糕还行,芒果组合套餐，建议单人使用,OOOO
1021,茂名,旺角亭（为民店）,2018-01-10,我要的是招牌套餐，服务员给我原味的，价格不一样，感觉被忽悠了，这样很不爽。,休闲单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1022,茂名,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018-01-11,好吃，2磅还能送货，就是刀碎了，应该是压坏了吧,栗子蛋糕1个，约2磅，圆,OOOOOOOOOOOOOOOOOOOOOOO
1023,茂名,小乔紫菜卷（小乔店）,2018-01-11,没有给酱，没什么味道，番茄酱沙拉酱都没有,日式鸡柳卷1份，提供免费WiFi,OOOOOOOOOOOOOOOOOOOO
1024,茂名,清香面包店（车田街店）,2018-01-11,很好，好看又好吃！还送货上门！真心感谢帅哥老板！,水果忌廉蛋糕（3层）1个，约8磅，圆,OOOOOOOOOOOOOOOOOOOOOOOO
1025,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-11,态度差，服务态度有待提高，蛋糕味道还行！,约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆,OOOOOOOOOOOOOOOOOOOO
1026,茂名,盛香烧鹅（东方市场店）,2018-01-12,我是回头客，又是点叉烧饭，特别好吃，分量十足，还给我来了两碗例汤，没有因为我是美团客而减少分量，服务阿姨很周到，特别的热情，令人有一种在家的感觉，回味无穷，让人流连忘返，下次还会光顾，真的太好吃了！！！ #叉烧饭# #烧鹅饭# #烧鸭饭，# #烧鸭饭# #青菜#,主食3选1，有赠品,OOOOOOOOOBIIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIIOOOOOOOOOBIIOOOOBIIOOOOOO
1027,茂名,盛香烧鹅（东方市场店）,2018-01-12,叉烧饭很好吃，合我口味，环境不错！,主食3选1，有赠品,BIIOOOOOOOOOOOOOO
1028,茂名,优之品西点,2018-01-12,上次吃了豆乳，这次看到芒果也留口水，买了试试。芒果好吃，整个盒子吃起来甜而不腻，口腔充满芒果香味，好吃！,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1029,茂名,优之品西点,2018-01-12,我买了两个豆乳盒子，很好吃，又香，感觉很细腻，甜度刚刚好！很喜欢吃，一下子消灭了两个，当晚餐了,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1030,茂名,优之品西点,2018-01-12,在店里买了豆乳盒子立即就试吃了，非常好吃的植物奶油水果盒子！赶紧又美团了二个！,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOOOOOO
1031,茂名,优之品西点,2018-01-12,芒果盒子非常好吃，芒果清甜、奶油一点也不腻！超喜欢，感谢店家的美食！,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOO
1032,茂名,旺角亭（为民店）,2018-01-12,不错，好好味！,大胃王单人套餐，提供免费WiFi,OOOOOOO
1033,茂名,旺角亭（为民店）,2018-01-12,不错，好好味！,大胃王单人套餐，提供免费WiFi,OOOOOOO
1034,茂名,旺角亭（为民店）,2018-01-12,不错，好好味！,大胃王单人套餐，提供免费WiFi,OOOOOOO
1035,茂名,旺角亭（为民店）,2018-01-12,不错，好好味！,大胃王单人套餐，提供免费WiFi,OOOOOOO
1036,茂名,旺角亭（为民店）,2018-01-12,不错，好好味！,大胃王单人套餐，提供免费WiFi,OOOOOOO
1037,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-13,难吃死了。差差差差。。。。。。,9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形,OOOOOOOOOOOOOOO
1038,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-13,让写上字也没写，榴莲极少，偏甜，不好吃。,榴莲千层蛋糕，约2磅，8寸1份,OOOOOOOOOOOOOOOOOOOO
1039,茂名,优之品西点,2018-01-15,嫩滑不腻的奶油，香甜的芒果蛋糕，很赞！多次回购！儿子很喜欢这家奥尔良西多士，很……好吃！全五分支持！期待更多新品。,蛋糕2选1，提供免费WiFi,OOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1040,茂名,优之品西点,2018-01-15,蛋糕新鲜好吃，尤其是雪棒和抹茶慕斯。,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOO
1041,茂名,小乔紫菜卷（小乔店）,2018-01-15,还行吧，回头客了。,北海道八爪鱼1份,OOOOOOOOO
1042,茂名,旺角亭（为民店）,2018-01-15,挺好的哇 男票说很好吃 一直说他学校对面有一家手卷很好吃 要带我去 一直没机会 今晚就给他订了这个当晚饭嘻嘻,大胃王单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1043,茂名,驰名湘菜馆,2018-01-16,做得挺大份的，但是拿回来后一打开菜好少。都是水同配菜。,2-3人美味餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOO
1044,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-17,蛋糕还可以，但是这么光秃秃的，不说装饰了，连个生日快乐牌都没有，呵呵了，心情都减半,榴莲千层蛋糕，约2磅，8寸1份,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1045,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-17,以为好大的，结果失望了……分量应该不够,土豪版超多榴莲千层蛋糕(5层榴莲果肉)约4.5磅1份,OOOOOOOOOOOOOOOOOOO
1046,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-18,还不错，买的土豪版，味道很足很好吃，普通版没吃过，比较推荐买这个土豪版,约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1047,茂名,盛香烧鹅（东方市场店）,2018-01-19,好吃！第三次去吃了，孩子也爱吃,主食3选1，有赠品,OOOOOOOOOOOOOOO
1048,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-19,说实话这次买的奶油不够，榴莲不够，冰特别多，感觉又不新鲜，不满意，价钱也没便宜到哪里去。如果是八块九块也就认了，一分钱一分货，但是15块这么一块，就真的失望了，那次后再也没回头买过这家了,榴莲千层蛋糕（土豪版）1份,OOOOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1049,茂名,优之品西点,2018-01-20,味道很清新，图案灵动可爱，儿子很喜欢,"蛋糕2选1,约8英寸，圆形",OOOOOOOOOOOOOOOOOO
1050,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-21,榴莲蛋糕很好吃，那个脏脏包就很………………,约3磅（双层版）榴莲千层蛋糕1个，约3磅，圆形,BIIIOOOOOOOOOOOOOOOOO
1051,茂名,盛香烧鹅（东方市场店）,2018-01-23,实惠，店面最近扩大了，挺不错的,主食3选1，有赠品,OOOOOOOOOOOOOOO
1052,茂名,优之品西点,2018-01-23,还没吃呢，不过卖相不错。哈哈。。。。,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOO
1053,茂名,爱可咖啡馆（茂南店）,2018-01-23,老板们很热情，很舒服的沙发，环境很不错。饮品也不错，很喜欢。赞赞赞,饮品6选1，提供免费WiFi,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1054,茂名,盛香烧鹅（东方市场店）,2018-01-24,就是好,主食3选1，有赠品,OOO
1055,茂名,盛香烧鹅（东方市场店）,2018-01-24,好,主食3选1，有赠品,O
1056,茂名,盛香烧鹅（东方市场店）,2018-01-24,非常,主食3选1，有赠品,OO
1057,茂名,盛香烧鹅（东方市场店）,2018-01-24,又来了,主食3选1，有赠品,OOO
1058,茂名,优之品西点,2018-01-24,还不错，很香甜。一次性买了6个！！！,蛋糕2选1，提供免费WiFi,OOOOOOOOOOOOOOOOOO
1059,茂名,盛香烧鹅（东方市场店）,2018-01-25,回头客,主食3选1，有赠品,OOO
1060,茂名,优之品西点,2018-01-25,蛋糕好漂亮，味道也好，口感很绵滑，她家店的面包也很好吃…(罒),蛋糕8选1,OOOOOOOOOOOOOOOOOOOOOBIOOOOOOOO
1061,茂名,功夫鸡排（光华北路店）,2018-01-25,味道不错量也挺足的，当时好像还赠了饮料。,小吃6选1，提供免费WiFi,OOOOOOOOOOOOOOOOOBIO
1062,茂名,盛香烧鹅（东方市场店）,2018-01-26,菜少了一点，不够吃，比其它地方少,主食3选1，有赠品,OOOOOOOOOOOOOOOO
1063,茂名,茂名浪漫海岸温德姆酒店望海餐厅,2018-01-26,环境很棒，东南亚风情比得上泰国游的星级酒店。套餐分量比较足，而且不粗糙，口味还算不错，若是追求高品质的可能会觉得不和口味，给5分好评。温馨提示，方圆20公里基本上没吃的，性价比这里绝对超值，上图……,奶油南瓜汤、奶油土豆汤、海鲜沙拉、安格斯肉眼牛排、纽西兰羊排、提拉米苏、拿破仑酥、鲜榨果汁2杯1份,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
1064,茂名,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2018-01-27,老板娘态度很好，熟客了，东西新鲜！好吃,榴莲千层/榴莲雪媚娘2选1,OOOOOOOOOOOOOOOOOOO
1065,茂名,旺角亭（为民店）,2018-01-27,朋友很喜欢这里的紫菜卷，还不错的宵夜之选,休闲单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOOO
1066,茂名,旺角亭（为民店）,2018-01-27,朋友喜欢吃这里的紫菜卷 #原味奶茶#,休闲单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOO
1067,茂名,旺角亭（为民店）,2018-01-27,朋友很喜欢这里的东西，这里的饮品还不错,美味单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOOO
1068,茂名,旺角亭（为民店）,2018-01-27,朋友很喜欢这里的东西，个人觉得有点腻,休闲单人套餐，提供免费WiFi,OOOOOOOOOOOOOOOOOO
1069,茂名,甜在心扉千层蛋糕（茂名店）,2018-01-29,我以为这个季节的榴莲不甜不好吃，拿回来试了一下，结果打脸了，奶油和榴莲的比例刚刚好，不油不腻，真心好吃,土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOO
1070,茂名,爱丽丝音乐餐吧,2018-01-30,不错喔,双人超值饮品套餐，包间免费,OOO
1071,茂名,丰年面包店（茂南区店）,2018-01-30,家人说味道还不错，就是麻将太小了，有点尴尬,"蛋糕12选1,约10英寸，圆形",OOOOOOOOOOOOOOOOOOOOO
